#No.	Label Name:	R	G	B	A
#	
59	Right-Substancia-Nigra	0	255	127	0
60	Right-VentralDC	165	42	42	0
61	Right-undetermined	135	206	235	0
62	Right-vessel	160	32	240	0
63	Right-choroid-plexus	0	200	221	0
64	Right-F3orb	100	50	100	0
65	Right-lOg	135	50	74	0
66	Right-aOg	122	135	50	0
67	Right-mOg	51	50	135	0
68	Right-pOg	74	155	60	0
69	Right-Stellate	120	62	43	0
70	Right-Porg	74	155	60	0
71	Right-Aorg	122	135	50	0
72	5th-Ventricle	120	190	150	0
73	Left-Interior	122	135	50	0
74	Right-Interior	122	135	50	0
# 75	/76 removed. duplicates of 4/43	
77	WM-hypointensities	200	70	255	0
78	Left-WM-hypointensities	255	148	10	0
79	Right-WM-hypointensities	255	148	10	0
80	non-WM-hypointensities	164	108	226	0
81	Left-non-WM-hypointensities	164	108	226	0
82	Right-non-WM-hypointensities	164	108	226	0
83	Left-F1	255	218	185	0
84	Right-F1	255	218	185	0
85	Optic-Chiasm	234	169	30	0
192	Corpus_Callosum	250	255	50	0
					
86	Left_future_WMSA	200	120	255	0
87	Right_future_WMSA	200	121	255	0
88	future_WMSA	200	122	255	0
					
					
96	Left-Amygdala-Anterior	205	10	125	0
97	Right-Amygdala-Anterior	205	10	125	0
98	Dura	160	32	240	0
					
100	Left-wm-intensity-abnormality	124	140	178	0
101	Left-caudate-intensity-abnormali	ty      125	140	178	0
102	Left-putamen-intensity-abnormali	ty      126	140	178	0
103	Left-accumbens-intensity-abnorma	lity    127	140	178	0
104	Left-pallidum-intensity-abnormal	ity     124	141	178	0
105	Left-amygdala-intensity-abnormal	ity     124	142	178	0
106	Left-hippocampus-intensity-abnor	mality  124	143	178	0
107	Left-thalamus-intensity-abnormal	ity     124	144	178	0
108	Left-VDC-intensity-abnormality	124	140	179	0
109	Right-wm-intensity-abnormality	124	140	178	0
110	Right-caudate-intensity-abnormal	ity     125	140	178	0
111	Right-putamen-intensity-abnormal	ity     126	140	178	0
112	Right-accumbens-intensity-abnorm	ality   127	140	178	0
113	Right-pallidum-intensity-abnorma	lity    124	141	178	0
114	Right-amygdala-intensity-abnorma	lity    124	142	178	0
115	Right-hippocampus-intensity-abno	rmality 124	143	178	0
116	Right-thalamus-intensity-abnorma	lity    124	144	178	0
117	Right-VDC-intensity-abnormality	124	140	179	0
					
118	Epidermis	255	20	147	0
119	Conn-Tissue	205	179	139	0
120	SC-Fat-Muscle	238	238	209	0
121	Cranium	200	200	200	0
122	CSF-SA	74	255	74	0
123	Muscle	238	0	0	0
124	Ear	0	0	139	0
125	Adipose	173	255	47	0
126	Spinal-Cord	133	203	229	0
127	Soft-Tissue	26	237	57	0
128	Nerve	34	139	34	0
129	Bone	30	144	255	0
130	Air	147	19	173	0
131	Orbital-Fat	238	59	59	0
132	Tongue	221	39	200	0
133	Nasal-Structures	238	174	238	0
134	Globe	255	0	0	0
135	Teeth	72	61	139	0
136	Left-Caudate-Putamen	21	39	132	0
137	Right-Caudate-Putamen	21	39	132	0
138	Left-Claustrum	65	135	20	0
139	Right-Claustrum	65	135	20	0
140	Cornea	134	4	160	0
142	Diploe	221	226	68	0
143	Vitreous-Humor	255	255	254	0
144	Lens	52	209	226	0
145	Aqueous-Humor	239	160	223	0
146	Outer-Table	70	130	180	0
147	Inner-Table	70	130	181	0
148	Periosteum	139	121	94	0
149	Endosteum	224	224	224	0
150	R-C-S	255	0	0	0
151	Iris	205	205	0	0
152	SC-Adipose-Muscle	238	238	209	0
153	SC-Tissue	139	121	94	0
154	Orbital-Adipose	238	59	59	0
					
155	Left-IntCapsule-Ant	238	59	59	0
156	Right-IntCapsule-Ant	238	59	59	0
157	Left-IntCapsule-Pos	62	10	205	0
158	Right-IntCapsule-Pos	62	10	205	0
					
# Th	ese labels are for babies/childr	en	
159	Left-Cerebral-WM-unmyelinated	0	118	14	0
160	Right-Cerebral-WM-unmyelinated	0	118	14	0
161	Left-Cerebral-WM-myelinated	220	216	21	0
162	Right-Cerebral-WM-myelinated	220	216	21	0
163	Left-Subcortical-Gray-Matter	122	186	220	0
164	Right-Subcortical-Gray-Matter	122	186	220	0
165	Skull	120	120	120	0
166	Posterior-fossa	14	48	255	0
167	Scalp	166	42	42	0
168	Hematoma	121	18	134	0
169	Left-Basal-Ganglia	236	13	127	0
176	Right-Basal-Ganglia	236	13	126	0
					
# La	bel names and colors for Brainst	em consituen	ts	
# No	.  Label Name:	R	G	B	A
170	brainstem	119	159	176	0
171	DCG	119	0	176	0
172	Vermis	119	100	176	0
173	Midbrain	242	104	76	0
174	Pons	206	195	58	0
175	Medulla	119	159	176	0
177	Vermis-White-Matter	119	50	176	0
178	SCP	142	182	0	0
179	Floculus	19	100	176	0
					
#176	Right-Basal-Ganglia   found in	babies/child	ren	sect	ion above
					
180	Left-Cortical-Dysplasia	73	61	139	0
181	Right-Cortical-Dysplasia	73	62	139	0
182	CblumNodulus	10 1	00	176	0
					
#192	Corpus_Callosum  listed after #	85 above	
193	Left-hippocampal_fissure	0	196	255	0
194	Left-CADG-head	255	164	164	0
195	Left-subiculum	196	196	0	0
196	Left-fimbria	0	100	255	0
197	Right-hippocampal_fissure	128	196	164	0
198	Right-CADG-head	0	126	75	0
199	Right-subiculum	128	96	64	0
200	Right-fimbria	0	50	128	0
201	alveus	255	204	153	0
202	perforant_pathway	255	128	128	0
203	parasubiculum	255	255	0	0
204	presubiculum	64	0	64	0
205	subiculum	0	0	255	0
206	CA1	255	0	0	0
207	CA2	128	128	255	0
208	CA3	0	128	0	0
209	CA4	196	160	128	0
210	GC-DG	32	200	255	0
211	HATA	128	255	128	0
212	fimbria	204	153	204	0
213	lateral_ventricle	121	17	136	0
214	molecular_layer_HP	128	0	0	0
215	hippocampal_fissure	128	32	255	0
216	entorhinal_cortex	255	204	102	0
217	molecular_layer_subiculum	128	128	128	0
218	Amygdala	104	255	255	0
219	Cerebral_White_Matter	0	226	0	0
220	Cerebral_Cortex	205	63	78	0
221	Inf_Lat_Vent	197	58	250	0
222	Perirhinal	33	150	250	0
223	Cerebral_White_Matter_Edge	226	0	0	0
224	Background	100	100	100	0
225	Ectorhinal	197	150	250	0
226	HP_tail	170	170	255	0
					
250	Fornix	255	0	0	0
251	CC_Posterior	0	0	64	0
252	CC_Mid_Posterior	0	0	112	0
253	CC_Central	0	0	160	0
254	CC_Mid_Anterior	0	0	208	0
255	CC_Anterior	0	0	255	0
					
# Th	is is for keeping track of voxel	changes	
256	Voxel-Unchanged	0	0	0	0
					
257	CSF-ExtraCerebral	60  6	0	60  0	
258	Head-ExtraCerebral	150 15	0 2	00  0	
259	SkullApprox	120 12	0 1	20  0	
260	BoneOrAir	119 15	9 1	76 0	
261	PossibleFluid	120  1	8 1	34 0	
262	Sinus	119 15	9 1	76 0	
263	Left-Eustachian	119 15	9 1	76 0	
264	Right-Eustachian	119 15	9 1	76 0	
					
# ly	mph node and vascular labels	
331	Aorta	255	0	0	0
332	Left-Common-IliacA	255	80	0	0
333	Right-Common-IliacA	255	160	0	0
334	Left-External-IliacA	255	255	0	0
335	Right-External-IliacA	0	255	0	0
336	Left-Internal-IliacA	255	0	160	0
337	Right-Internal-IliacA	255	0	255	0
338	Left-Lateral-SacralA	255	50	80	0
339	Right-Lateral-SacralA	80	255	50	0
340	Left-ObturatorA	160	255	50	0
341	Right-ObturatorA	160	200	255	0
342	Left-Internal-PudendalA	0	255	160	0
343	Right-Internal-PudendalA	0	0	255	0
344	Left-UmbilicalA	80	50	255	0
345	Right-UmbilicalA	160	0	255	0
346	Left-Inf-RectalA	255	210	0	0
347	Right-Inf-RectalA	0	160	255	0
348	Left-Common-IliacV	255	200	80	0
349	Right-Common-IliacV	255	200	160	0
350	Left-External-IliacV	255	80	200	0
351	Right-External-IliacV	255	160	200	0
352	Left-Internal-IliacV	30	255	80	0
353	Right-Internal-IliacV	80	200	255	0
354	Left-ObturatorV	80	255	200	0
355	Right-ObturatorV	195	255	200	0
356	Left-Internal-PudendalV	120	200	20	0
357	Right-Internal-PudendalV	170	10	200	0
358	Pos-Lymph	20	130	180	0
359	Neg-Lymph	20	180	130	0
					
400	V1	206	62	78	0
401	V2	121	18	134	0
402	BA44	199	58	250	0
403	BA45	1	148	0	0
404	BA4a	221	248	164	0
405	BA4p	231	148	34	0
406	BA6	1	118	14	0
407	BA2	120	118	14	0
408	BA1_old	123	186	221	0
409	BAun2	238	13	177	0
410	BA1	123	186	220	0
411	BA2b	138	13	206	0
412	BA3a	238	130	176	0
413	BA3b	218	230	76	0
414	MT	38	213	176	0
415	AIPS_AIP_l	1	225	176	0
416	AIPS_AIP_r	1	225	176	0
417	AIPS_VIP_l	200	2	100	0
418	AIPS_VIP_r	200	2	100	0
419	IPL_PFcm_l	5	200	90	0
420	IPL_PFcm_r	5	200	90	0
421	IPL_PF_l	100	5	200	0
422	IPL_PFm_l	25	255	100	0
423	IPL_PFm_r	25	255	100	0
424	IPL_PFop_l	230	7	100	0
425	IPL_PFop_r	230	7	100	0
426	IPL_PF_r	100	5	200	0
427	IPL_PFt_l	150	10	200	0
428	IPL_PFt_r	150	10	200	0
429	IPL_PGa_l	175	10	176	0
430	IPL_PGa_r	175	10	176	0
431	IPL_PGp_l	10	100	255	0
432	IPL_PGp_r	10	100	255	0
433	Visual_V3d_l	150	45	70	0
434	Visual_V3d_r	150	45	70	0
435	Visual_V4_l	45	200	15	0
436	Visual_V4_r	45	200	15	0
437	Visual_V5_b	227	45	100	0
438	Visual_VP_l	227	45	100	0
439	Visual_VP_r	227	45	100	0
					
# wm	lesions	
498	wmsa	143	188	143	0
499	other_wmsa	255	248	220	0
					
# Hi	Res Hippocampus labeling	
500	right_CA2_3	17	85	136	0
501	right_alveus	119	187	102	0
502	right_CA1	204	68	34	0
503	right_fimbria	204	0	255	0
504	right_presubiculum	221	187	17	0
505	right_hippocampal_fissure	153	221	238	0
506	right_CA4_DG	51	17	17	0
507	right_subiculum	0	119	85	0
508	right_fornix	20	100	200	0
					
550	left_CA2_3	17	85	137	0
551	left_alveus	119	187	103	0
552	left_CA1	204	68	35	0
553	left_fimbria	204	0	254	0
554	left_presubiculum	221	187	16	0
555	left_hippocampal_fissure	153	221	239	0
556	left_CA4_DG	51	17	18	0
557	left_subiculum	0	119	86	0
558	left_fornix	20	100	201	0
					
600	Tumor	254	254	254	0
					
					
# Ce	rebellar parcellation labels fro	m SUIT (matc	hes	labe	ls in cma.h)
#No.	Label Name:	R	G	B	A
601	Cbm_Left_I_IV	70	130	180	0
602	Cbm_Right_I_IV	245	245	245	0
603	Cbm_Left_V	205	62	78	0
604	Cbm_Right_V	120	18	134	0
605	Cbm_Left_VI	196	58	250	0
606	Cbm_Vermis_VI	0	148	0	0
607	Cbm_Right_VI	220	248	164	0
608	Cbm_Left_CrusI	230	148	34	0
609	Cbm_Vermis_CrusI	0	118	14	0
610	Cbm_Right_CrusI	0	118	14	0
611	Cbm_Left_CrusII	122	186	220	0
612	Cbm_Vermis_CrusII	236	13	176	0
613	Cbm_Right_CrusII 12	48	255	0	
614	Cbm_Left_VIIb	204	182	142	0
615	Cbm_Vermis_VIIb	42	204	164	0
616	Cbm_Right_VIIb	119	159	176	0
617	Cbm_Left_VIIIa	220	216	20	0
618	Cbm_Vermis_VIIIa	103	255	255	0
619	Cbm_Right_VIIIa	80	196	98	0
620	Cbm_Left_VIIIb	60	58	210	0
621	Cbm_Vermis_VIIIb	60	58	210	0
622	Cbm_Right_VIIIb	60	58	210	0
623	Cbm_Left_IX	60	58	210	0
624	Cbm_Vermis_IX	60	60	60	0
625	Cbm_Right_IX	255	165	0	0
626	Cbm_Left_X	255	165	0	0
627	Cbm_Vermis_X	0	255	127	0
628	Cbm_Right_X	165	42	42	0
					
# Ce	rebellar lobule parcellations	
640	Cbm_Right_I_V_med	204	0	0	0
641	Cbm_Right_I_V_mid	255	0	0	0
642	Cbm_Right_VI_med	0	0	255	0
643	Cbm_Right_VI_mid	30	144	255	0
644	Cbm_Right_VI_lat	100	212	237	0
645	Cbm_Right_CrusI_med	218	165	32	0
646	Cbm_Right_CrusI_mid	255	215	0	0
647	Cbm_Right_CrusI_lat	255	255	166	0
648	Cbm_Right_CrusII_med	153	0	204	0
649	Cbm_Right_CrusII_mid	153	141	209	0
650	Cbm_Right_CrusII_lat	204	204	255	0
651	Cbm_Right_7med	31	212	194	0
652	Cbm_Right_7mid	3	255	237	0
653	Cbm_Right_7lat	204	255	255	0
654	Cbm_Right_8med	86	74	147	0
655	Cbm_Right_8mid	114	114	190	0
656	Cbm_Right_8lat	184	178	255	0
657	Cbm_Right_PUNs	126	138	37	0
658	Cbm_Right_TONs	189	197	117	0
659	Cbm_Right_FLOs	240	230	140	0
660	Cbm_Left_I_V_med	204	0	0	0
661	Cbm_Left_I_V_mid	255	0	0	0
662	Cbm_Left_VI_med	0	0	255	0
663	Cbm_Left_VI_mid	30	144	255	0
664	Cbm_Left_VI_lat	100	212	237	0
665	Cbm_Left_CrusI_med	218	165	32	0
666	Cbm_Left_CrusI_mid	255	215	0	0
667	Cbm_Left_CrusI_lat	255	255	166	0
668	Cbm_Left_CrusII_med	153	0	204	0
669	Cbm_Left_CrusII_mid	153	141	209	0
670	Cbm_Left_CrusII_lat	204	204	255	0
671	Cbm_Left_7med	31	212	194	0
672	Cbm_Left_7mid	3	255	237	0
673	Cbm_Left_7lat	204	255	255	0
674	Cbm_Left_8med	86	74	147	0
675	Cbm_Left_8mid	114	114	190	0
676	Cbm_Left_8lat	184	178	255	0
677	Cbm_Left_PUNs	126	138	37	0
678	Cbm_Left_TONs	189	197	117	0
679	Cbm_Left_FLOs	240	230	140	0
# Ad	ded by DNG 7/31/14	
690	CbmWM_Gyri_Left	122	135	50	0
691	CbmWM_Gyri_Right	122	135	50	0
					
701	CSF-FSL-FAST	120	18	134	0
702	GrayMatter-FSL-FAST	205	62	78	0
703	WhiteMatter-FSL-FAST	0	225	0	0
					
999	SUSPICIOUS	255	100	100	0
					
# Be	low is the color table for the c	ortical labe	ls	of th	e seg volume
# cr	eated by mri_aparc2aseg in which	the aseg co	rte	x lab	el is replaced
# by	the labels in the aparc. It als	o supports w	m l	abels	that will
# ev	entually be created by mri_aparc	2aseg. Other	wis	e, th	e aseg labels
# do	not change from above. The cort	ical lables	are	the	same as in
# co	lortable_desikan_killiany.txt, e	xcept that l	eft	hemi	sphere has
# 10	00 added to the index and the ri	ght has 2000	ad	ded.	The label
# na	mes are also prepended with ctx-	lh or ctx-rh	. T	he wh	ite matter
# la	bels are the same as in colortab	le_desikan_k	ill	iany.	txt, except
# th	at left hemisphere has 3000 adde	d to the ind	ex	and t	he right has
# 40	00 added. The label names are al	so prepended	wi	th wm	-lh or wm-rh.
# Ce	ntrum semiovale is also labled w	ith 5001 (le	ft)	and	5002 (right).
# Ev	en further below are the color t	ables for ap	arc	.a200	5s and aparc.a2009s.
					
#No.	Label Name:	R	G	B	A
1000	ctx-lh-unknown	25	5	25	0
1001	ctx-lh-bankssts	25	100	40	0
1002	ctx-lh-caudalanteriorcingula	te      125	100	160	0
1003	ctx-lh-caudalmiddlefrontal	100	25	0	0
1004	ctx-lh-corpuscallosum	120	70	50	0
1005	ctx-lh-cuneus	220	20	100	0
1006	ctx-lh-entorhinal	220	20	10	0
1007	ctx-lh-fusiform	180	220	140	0
1008	ctx-lh-inferiorparietal	220	60	220	0
1009	ctx-lh-inferiortemporal	180	40	120	0
1010	ctx-lh-isthmuscingulate	140	20	140	0
1011	ctx-lh-lateraloccipital	20	30	140	0
1012	ctx-lh-lateralorbitofrontal	35	75	50	0
1013	ctx-lh-lingual	225	140	140	0
1014	ctx-lh-medialorbitofrontal	200	35	75	0
1015	ctx-lh-middletemporal	160	100	50	0
1016	ctx-lh-parahippocampal	20	220	60	0
1017	ctx-lh-paracentral	60	220	60	0
1018	ctx-lh-parsopercularis	220	180	140	0
1019	ctx-lh-parsorbitalis	20	100	50	0
1020	ctx-lh-parstriangularis	220	60	20	0
1021	ctx-lh-pericalcarine	120	100	60	0
1022	ctx-lh-postcentral	220	20	20	0
1023	ctx-lh-posteriorcingulate	220	180	220	0
1024	ctx-lh-precentral	60	20	220	0
1025	ctx-lh-precuneus	160	140	180	0
1026	ctx-lh-rostralanteriorcingul	ate     80	20	140	0
1027	ctx-lh-rostralmiddlefrontal	75	50	125	0
1028	ctx-lh-superiorfrontal	20	220	160	0
1029	ctx-lh-superiorparietal	20	180	140	0
1030	ctx-lh-superiortemporal	140	220	220	0
1031	ctx-lh-supramarginal	80	160	20	0
1032	ctx-lh-frontalpole	100	0	100	0
1033	ctx-lh-temporalpole	70	70	70	0
1034	ctx-lh-transversetemporal	150	150	200	0
1035	ctx-lh-insula	255	192	32	0
					
2000	ctx-rh-unknown	25	5	25	0
2001	ctx-rh-bankssts	25	100	40	0
2002	ctx-rh-caudalanteriorcingula	te      125	100	160	0
2003	ctx-rh-caudalmiddlefrontal	100	25	0	0
2004	ctx-rh-corpuscallosum	120	70	50	0
2005	ctx-rh-cuneus	220	20	100	0
2006	ctx-rh-entorhinal	220	20	10	0
2007	ctx-rh-fusiform	180	220	140	0
2008	ctx-rh-inferiorparietal	220	60	220	0
2009	ctx-rh-inferiortemporal	180	40	120	0
2010	ctx-rh-isthmuscingulate	140	20	140	0
2011	ctx-rh-lateraloccipital	20	30	140	0
2012	ctx-rh-lateralorbitofrontal	35	75	50	0
2013	ctx-rh-lingual	225	140	140	0
2014	ctx-rh-medialorbitofrontal	200	35	75	0
2015	ctx-rh-middletemporal	160	100	50	0
2016	ctx-rh-parahippocampal	20	220	60	0
2017	ctx-rh-paracentral	60	220	60	0
2018	ctx-rh-parsopercularis	220	180	140	0
2019	ctx-rh-parsorbitalis	20	100	50	0
2020	ctx-rh-parstriangularis	220	60	20	0
2021	ctx-rh-pericalcarine	120	100	60	0
2022	ctx-rh-postcentral	220	20	20	0
2023	ctx-rh-posteriorcingulate	220	180	220	0
2024	ctx-rh-precentral	60	20	220	0
2025	ctx-rh-precuneus	160	140	180	0
2026	ctx-rh-rostralanteriorcingul	ate     80	20	140	0
2027	ctx-rh-rostralmiddlefrontal	75	50	125	0
2028	ctx-rh-superiorfrontal	20	220	160	0
2029	ctx-rh-superiorparietal	20	180	140	0
2030	ctx-rh-superiortemporal	140	220	220	0
2031	ctx-rh-supramarginal	80	160	20	0
2032	ctx-rh-frontalpole	100	0	100	0
2033	ctx-rh-temporalpole	70	70	70	0
2034	ctx-rh-transversetemporal	150	150	200	0
2035	ctx-rh-insula	255	192	32	0
					
3000	wm-lh-unknown	230	250	230	0
3001	wm-lh-bankssts	230	155	215	0
3002	wm-lh-caudalanteriorcingulat	e       130	155	95	0
3003	wm-lh-caudalmiddlefrontal	155	230	255	0
3004	wm-lh-corpuscallosum	135	185	205	0
3005	wm-lh-cuneus	35	235	155	0
3006	wm-lh-entorhinal	35	235	245	0
3007	wm-lh-fusiform	75	35	115	0
3008	wm-lh-inferiorparietal	35	195	35	0
3009	wm-lh-inferiortemporal	75	215	135	0
3010	wm-lh-isthmuscingulate	115	235	115	0
3011	wm-lh-lateraloccipital	235	225	115	0
3012	wm-lh-lateralorbitofrontal	220	180	205	0
3013	wm-lh-lingual	30	115	115	0
3014	wm-lh-medialorbitofrontal	55	220	180	0
3015	wm-lh-middletemporal	95	155	205	0
3016	wm-lh-parahippocampal	235	35	195	0
3017	wm-lh-paracentral	195	35	195	0
3018	wm-lh-parsopercularis	35	75	115	0
3019	wm-lh-parsorbitalis	235	155	205	0
3020	wm-lh-parstriangularis	35	195	235	0
3021	wm-lh-pericalcarine	135	155	195	0
3022	wm-lh-postcentral	35	235	235	0
3023	wm-lh-posteriorcingulate	35	75	35	0
3024	wm-lh-precentral	195	235	35	0
3025	wm-lh-precuneus	95	115	75	0
3026	wm-lh-rostralanteriorcingula	te      175	235	115	0
3027	wm-lh-rostralmiddlefrontal	180	205	130	0
3028	wm-lh-superiorfrontal	235	35	95	0
3029	wm-lh-superiorparietal	235	75	115	0
3030	wm-lh-superiortemporal	115	35	35	0
3031	wm-lh-supramarginal	175	95	235	0
3032	wm-lh-frontalpole	155	255	155	0
3033	wm-lh-temporalpole	185	185	185	0
3034	wm-lh-transversetemporal	105	105	55	0
3035	wm-lh-insula	20	220	160	0
					
4000	wm-rh-unknown	230	250	230	0
4001	wm-rh-bankssts	230	155	215	0
4002	wm-rh-caudalanteriorcingulat	e       130	155	95	0
4003	wm-rh-caudalmiddlefrontal	155	230	255	0
4004	wm-rh-corpuscallosum	135	185	205	0
4005	wm-rh-cuneus	35	235	155	0
4006	wm-rh-entorhinal	35	235	245	0
4007	wm-rh-fusiform	75	35	115	0
4008	wm-rh-inferiorparietal	35	195	35	0
4009	wm-rh-inferiortemporal	75	215	135	0
4010	wm-rh-isthmuscingulate	115	235	115	0
4011	wm-rh-lateraloccipital	235	225	115	0
4012	wm-rh-lateralorbitofrontal	220	180	205	0
4013	wm-rh-lingual	30	115	115	0
4014	wm-rh-medialorbitofrontal	55	220	180	0
4015	wm-rh-middletemporal	95	155	205	0
4016	wm-rh-parahippocampal	235	35	195	0
4017	wm-rh-paracentral	195	35	195	0
4018	wm-rh-parsopercularis	35	75	115	0
4019	wm-rh-parsorbitalis	235	155	205	0
4020	wm-rh-parstriangularis	35	195	235	0
4021	wm-rh-pericalcarine	135	155	195	0
4022	wm-rh-postcentral	35	235	235	0
4023	wm-rh-posteriorcingulate	35	75	35	0
4024	wm-rh-precentral	195	235	35	0
4025	wm-rh-precuneus	95	115	75	0
4026	wm-rh-rostralanteriorcingula	te      175	235	115	0
4027	wm-rh-rostralmiddlefrontal	180	205	130	0
4028	wm-rh-superiorfrontal	235	35	95	0
4029	wm-rh-superiorparietal	235	75	115	0
4030	wm-rh-superiortemporal	115	35	35	0
4031	wm-rh-supramarginal	175	95	235	0
4032	wm-rh-frontalpole	155	255	155	0
4033	wm-rh-temporalpole	185	185	185	0
4034	wm-rh-transversetemporal	105	105	55	0
4035	wm-rh-insula	20	220	160	0
					
					
# Be	low is the color table for a lob	ar white mat	ter	parc	elation
#  o	btained from running	
# mr	i_annotation2label --subject sub	ject --hemi	lh	--lob	esStrict lobes
# mr	i_annotation2label --subject sub	ject --hemi	rh	--lob	esStrict lobes
# mr	i_aparc2aseg --s subject --label	wm --hypo-as	-wm	--ri	p-unknown \
#	--volmask --o wmparc.lobes.mgz -	-ctxseg apar	c+a	seg.m	gz \
#	--annot lobes --base-offset 200	[--base-offs	et	must	be last arg]
					
3201	wm-lh-frontal-lobe	235	35	95	0
3203	wm-lh-cingulate-lobe	35	75	35	0
3204	wm-lh-occiptal-lobe	135	155	195	0
3205	wm-lh-temporal-lobe	115	35	35	0
3206	wm-lh-parietal-lobe	35	195	35	0
3207	wm-lh-insula-lobe	20	220	160	0
					
4201	wm-rh-frontal-lobe	235	35	95	0
4203	wm-rh-cingulate-lobe	35	75	35	0
4204	wm-rh-occiptal-lobe	135	155	195	0
4205	wm-rh-temporal-lobe	115	35	35	0
4206	wm-rh-parietal-lobe	35	195	35	0
4207	wm-rh-insula-lobe	20	220	160	0
					
# Be	low is the color table for the c	ortical labe	ls	of th	e seg volume
# cr	eated by mri_aparc2aseg (with --	a2005s flag)	in	whic	h the aseg
# co	rtex label is replaced by the la	bels in the	apa	rc.a2	005s. The
# co	rtical labels are the same as in	Simple_surf	ace	_labe	ls2005.txt,
# ex	cept that left hemisphere has 11	00 added to	the	inde	x and the
# ri	ght has 2100 added.  The label n	ames are als	o p	repen	ded with
# ct	x-lh or ctx-rh.  The aparc.a2009	s labels are	fu	rther	below
					
#No.	Label Name:	R   G   B   A
1100	ctx-lh-Unknown	0   0   0   0
1101	ctx-lh-Corpus_callosum	50  50  50  0
1102	ctx-lh-G_and_S_Insula_ONLY_A	VERAGE	180 20  30  0
1103	ctx-lh-G_cingulate-Isthmus	60  25  25  0
1104	ctx-lh-G_cingulate-Main_part	25  60  60  0
					
1200	ctx-lh-G_cingulate-caudal_AC	C	25  60  61  0
1201	ctx-lh-G_cingulate-rostral_A	CC	25  90  60  0
1202	ctx-lh-G_cingulate-posterior	25  120 60  0
					
1205	ctx-lh-S_cingulate-caudal_AC	C	25  150 60  0
1206	ctx-lh-S_cingulate-rostral_A	CC	25  180 60  0
1207	ctx-lh-S_cingulate-posterior	25  210 60  0
					
1210	ctx-lh-S_pericallosal-caudal	25  150 90  0
1211	ctx-lh-S_pericallosal-rostra	l	25  180 90  0
1212	ctx-lh-S_pericallosal-poster	ior	25  210 90  0
					
1105	ctx-lh-G_cuneus	180 20  20  0
1106	ctx-lh-G_frontal_inf-Opercul	ar_part	220 20  100 0
1107	ctx-lh-G_frontal_inf-Orbital	_part	140 60  60  0
1108	ctx-lh-G_frontal_inf-Triangu	lar_part	180 220 140 0
1109	ctx-lh-G_frontal_middle	140 100 180 0
1110	ctx-lh-G_frontal_superior	180 20  140 0
1111	ctx-lh-G_frontomarginal	140 20  140 0
1112	ctx-lh-G_insular_long	21  10  10  0
1113	ctx-lh-G_insular_short	225 140 140 0
1114	ctx-lh-G_and_S_occipital_inf	erior	23  60  180 0
1115	ctx-lh-G_occipital_middle	180 60  180 0
1116	ctx-lh-G_occipital_superior	20  220 60  0
1117	ctx-lh-G_occipit-temp_lat-Or	_fusiform	60  20  140 0
1118	ctx-lh-G_occipit-temp_med-Li	ngual_part	220 180 140 0
1119	ctx-lh-G_occipit-temp_med-Pa	rahippocampa	l_p	art	65  100 20  0
